식품명,총개수,유효개수,제거개수,대표행 필터통과
망고케이크,4,0,4,FALSE
매실,4,0,4,FALSE
매콤닭갈비,4,0,4,FALSE
메밀막국수,4,0,4,FALSE
명란크림파스타,4,0,4,FALSE
무말랭이무침,4,0,4,FALSE
미강유,4,0,4,FALSE
미니돈까스,4,0,4,FALSE
미닛메이드 시그니처 오렌지,4,0,4,FALSE
미닛메이드 시그니처 포도,4,0,4,FALSE
밀떡볶이,4,0,4,FALSE
밀크생초콜릿,4,0,4,FALSE
바닐라쿠키,4,0,4,FALSE
바질 베이글,4,0,4,FALSE
반미바게트,4,0,4,FALSE
반포코,4,0,4,FALSE
밤양갱,4,0,4,FALSE
밤티라미수,4,0,4,FALSE
배추된장국,4,0,4,FALSE
베이컨참치마요,4,0,4,FALSE
복숭아홍차,4,0,4,FALSE
봄동겉절이,4,0,4,FALSE
부대찌개양념,4,0,4,FALSE
브라질,4,0,4,FALSE
블랙베리잼,4,0,4,FALSE
블루베리,4,0,4,FALSE
블루베리스무디,4,0,4,FALSE
블루베리요거트,4,0,4,FALSE
비빔장,4,0,4,FALSE
사골육수,4,0,4,FALSE
사과당근주스,4,0,4,FALSE
사누끼우동면,4,0,4,FALSE
사리면,4,0,4,FALSE
사브레,4,0,4,FALSE
산딸기마카롱,4,0,4,FALSE
새우볼,4,0,4,FALSE
새우전,4,0,4,FALSE
새우탕,4,0,4,FALSE
석류,4,0,4,FALSE
석박지,4,0,4,FALSE
소고기국밥,4,0,4,FALSE
소고기쌀국수,4,0,4,FALSE
소고기육전,4,0,4,FALSE
소시지빵,4,0,4,FALSE
소시지피자김밥,4,0,4,FALSE
쇠고기미역국,4,0,4,FALSE
수박에이드,4,0,4,FALSE
수정과,4,0,4,FALSE
수제초코파이,4,0,4,FALSE
순대볶음,4,0,4,FALSE
순살감자탕,4,0,4,FALSE
스모어르벵,4,0,4,FALSE
스위트칠리소스,4,0,4,FALSE
스트링치즈,4,0,4,FALSE
스프라이트,4,0,4,FALSE
시금치나물,4,0,4,FALSE
식물혼합농축액,4,0,4,FALSE
싱글오리진,4,0,4,FALSE
쌀떡볶이떡,4,0,4,FALSE
쌀모닝빵,4,0,4,FALSE
쑥절편,4,0,4,FALSE
아메리카노,4,0,4,FALSE
아몬드커피쿠키,4,0,4,FALSE
양송이크림스프,4,0,4,FALSE
양파즙,4,0,4,FALSE
양평해장국,4,0,4,FALSE
얼음골사과즙,4,0,4,FALSE
에그샐러드,4,0,4,FALSE
에티오피아,4,0,4,FALSE
연두부,4,0,4,FALSE
영양갈비탕,4,0,4,FALSE
오뎅탕,4,0,4,FALSE
오렌지잼,4,0,4,FALSE
오미자,4,0,4,FALSE
오미자청,4,0,4,FALSE
오이소박이,4,0,4,FALSE
오징어실채볶음,4,0,4,FALSE
옥수수찐빵,4,0,4,FALSE
올리브 베이글,4,0,4,FALSE
우엉듬뿍김밥,4,0,4,FALSE
원두커피,4,0,4,FALSE
유기농 NFC 레몬즙 100%,4,0,4,FALSE
유기농 레몬즙 100%,4,0,4,FALSE
유기농 생강즙,4,0,4,FALSE
유기농ABC주스,4,0,4,FALSE
유기농석류주스,4,0,4,FALSE
유기농식혜,4,0,4,FALSE
육즙가득 고기만두,4,0,4,FALSE
육회소스,4,0,4,FALSE
자몽에이드,4,0,4,FALSE
장칼국수,4,0,4,FALSE
재래식된장,4,0,4,FALSE
저칼로리 딸기잼,4,0,4,FALSE
전복장,4,0,4,FALSE
전통식혜,4,0,4,FALSE
제육고추장비빔밥,4,0,4,FALSE
조지아 Cafe 헤이즐넛향 아메리카노,4,0,4,FALSE
진저쿠키,4,0,4,FALSE
진한들기름,4,0,4,FALSE
짜장소스,4,0,4,FALSE
참고소한기름,4,0,4,FALSE
참깨향기름,4,0,4,FALSE
참치마요 김밥,4,0,4,FALSE
초코볼,4,0,4,FALSE
취나물볶음,4,0,4,FALSE
치킨너겟,4,0,4,FALSE
칡냉면사리,4,0,4,FALSE
카레,4,0,4,FALSE
카레고로케,4,0,4,FALSE
커피번,4,0,4,FALSE
케이준치킨샐러드,4,0,4,FALSE
케이크시트,4,0,4,FALSE
코코넛 휘낭시에,4,0,4,FALSE
코코넛워터,4,0,4,FALSE
콘스프,4,0,4,FALSE
콥샐러드,4,0,4,FALSE
콩자반,4,0,4,FALSE
크루통,4,0,4,FALSE
크림치즈머핀,4,0,4,FALSE
크림치즈타르트,4,0,4,FALSE
타르타르소스,4,0,4,FALSE
토마토잼,4,0,4,FALSE
통밀 모닝빵,4,0,4,FALSE
통밀단팥빵,4,0,4,FALSE
통밀빵,4,0,4,FALSE
트리플치즈버거,4,0,4,FALSE
티라미슈케이크,4,0,4,FALSE
팝콘,4,0,4,FALSE
페스츄리 호두과자,4,0,4,FALSE
퓨어 100% 유기농 레몬즙,4,0,4,FALSE
플레인마들렌,4,0,4,FALSE
피스타치오 휘낭시에,4,0,4,FALSE
피타브레드,4,0,4,FALSE
한우 육개장,4,0,4,FALSE
한우불고기,4,0,4,FALSE
한우사골육수,4,0,4,FALSE
핫도그번,4,0,4,FALSE
호두단팥빵,4,0,4,FALSE
홍삼양갱,4,0,4,FALSE
홍삼청,4,0,4,FALSE
화이트트러플엑스트라버진올리브오일,4,0,4,FALSE
황태미역국,4,0,4,FALSE
황태채무침,4,0,4,FALSE
파네토네,10,7,3,TRUE
레드벨벳케이크,7,4,3,TRUE
소보루,7,4,3,FALSE
쌀식빵,7,4,3,FALSE
초코파운드,7,4,3,FALSE
감자수제비,6,3,3,FALSE
김치왕만두,6,3,3,TRUE
딸기크림빵,6,3,3,FALSE
미니버터크로아상,6,3,3,TRUE
쌀카스테라,6,3,3,FALSE
어묵볶음,6,3,3,TRUE
언양식소불고기,6,3,3,FALSE
유부우엉김밥,6,3,3,FALSE
유자마카롱,6,3,3,TRUE
허니버터아몬드,6,3,3,FALSE
강냉이,5,2,3,TRUE
경주빵,5,2,3,TRUE
단호박카스테라,5,2,3,TRUE
더블초코쿠키,5,2,3,TRUE
딸기우유,5,2,3,FALSE
떡볶이떡,5,2,3,TRUE
레인보우케이크,5,2,3,TRUE
말차스콘,5,2,3,TRUE
몬테크리스토샌드위치,5,2,3,FALSE
무화과스콘,5,2,3,FALSE
밀떡볶이떡,5,2,3,TRUE
바닐라마들렌,5,2,3,TRUE
바스크 치즈 케이크,5,2,3,FALSE
버터바,5,2,3,TRUE
보리건빵,5,2,3,FALSE
사과잼,5,2,3,TRUE
소고기육개장,5,2,3,TRUE
오렌지파운드,5,2,3,TRUE
완두빵,5,2,3,TRUE
우렁강된장,5,2,3,FALSE
우리밀초코칩쿠키,5,2,3,FALSE
초코파운드케이크,5,2,3,FALSE
치즈버거,5,2,3,TRUE
크랜베리스콘,5,2,3,FALSE
푸실리,5,2,3,FALSE
푸질리,5,2,3,FALSE
플레인롤케이크,5,2,3,FALSE
고기왕만두,4,1,3,FALSE
고등어조림,4,1,3,FALSE
고추참치김밥,4,1,3,FALSE
국간장,4,1,3,TRUE
까망베르치즈케이크,4,1,3,FALSE
꼬마김밥,4,1,3,FALSE
녹차롤케이크,4,1,3,FALSE
뉴욕롤,4,1,3,FALSE
닭갈비볶음밥,4,1,3,FALSE
딸기쿠키,4,1,3,TRUE
땅콩전병,4,1,3,TRUE
마파두부,4,1,3,FALSE
먹물치아바타,4,1,3,FALSE
무화과휘낭시에,4,1,3,FALSE
밀크단백질초코볼,4,1,3,FALSE
밤만쥬,4,1,3,TRUE
베이컨김치볶음밥,4,1,3,FALSE
복숭아요거트마카롱,4,1,3,TRUE
뼈없는 갈비탕,4,1,3,FALSE
소고기야채죽,4,1,3,FALSE
시래기된장국,4,1,3,FALSE
아몬드튀일,4,1,3,FALSE
앙버터,4,1,3,FALSE
야채춘권,4,1,3,FALSE
양념쌈장,4,1,3,FALSE
오리엔탈드레싱,4,1,3,FALSE
우동사리,4,1,3,FALSE
유기농노니주스,4,1,3,FALSE
유기농레드비트즙,4,1,3,FALSE
장터국밥,4,1,3,FALSE
참깨드레싱,4,1,3,FALSE
참치마요삼각김밥,4,1,3,FALSE
찹쌀약과,4,1,3,FALSE
초코도넛,4,1,3,TRUE
초코칩머핀,4,1,3,FALSE
치즈김밥,4,1,3,FALSE
치즈타르트,4,1,3,FALSE
커피콩빵,4,1,3,FALSE
콤비네이션 피자,4,1,3,FALSE
쿠키,4,1,3,FALSE
